resource,bytes,organisations,endpoints,start-date,end-date
018ca4c84ac8067646897b93e5b811573b5fe6dbe4120b635afa4b3198f3ca9e,29031664,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-10-12,2021-10-25
08c95c1c9a9a0594a149eb7a65158e881143f92f96a6e32f5ee3822cf00a0ed9,29095919,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2022-01-05,2022-01-12
0ad1b811a6287d3ff6a3101fdf84b5766d020dfd4185251e40eb2057ed170659,29024520,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-10-01,2021-10-11
13bece8137e20f30e2e569be0a249e7210ea6f9178d77253353bd8b5cace3974,29047439,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-12-03,2021-12-16
1694666a7c7c606facc6c48aa71f46304ce0ff3c209d284ccee874b3d9f65930,29008055,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-08-01,2021-08-01
474c4417dafdaa069449bb62980202f8b83ebeaa5eea2c6e689bed214ffcd2e9,89,government-organisation:PB1164,d7a3030ffdf1c6f70cffdc0230928df129362c4b0c2d8b32e3bef22910e3f3f7,2021-06-02,2021-10-01
47e8c774370b10c803da048f4f1d98cfb028d25e01408314c92f0ac74cbee12b,152,government-organisation:PB1164,fe11d79074c5744a47ce11171e6f7c376ea41a62ef2882d527192213645b9503,2021-11-22,
4d2a9909b22782366c46cd46410fe9eb26ce3dbfcfc852f2baf14b714bc2aac7,29098942,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2022-01-13,2022-02-10
5af0bf40fd2d02f7a842cdbdd906ce081e3cefa20b4858803b4493c57bbf1633,29019000,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-09-09,2021-09-17
6e3768c08262b47803d8847cade830602a60b4c23f41036b2da68e8d8b7e997e,29036364,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-10-26,2021-11-08
72337bced0ee7e6f7ec339822e3ec1a55dbd02729a1df3747308ebdd49905868,1730355,local-authority-eng:LBH,2edd619184cc8fdfcebab5be89c7de2ccbe03c72c7b6f71361920e3cda55163d,2021-11-23,
8e9203bc60c1d387cc6e0e490bbb4c94f030e8a303c9d160a8c4fdbf30e9c1d2,29000406,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-06-30,2021-07-01
9d20207f8f2f674fda09b9632bd5d1495a635fcb762827b46c96522a45624bff,5730,local-authority-eng:SWK,f9e48302f921da41ac204cd97817651db192c83dcbc032afc9a8f19f6ce57849,2021-12-08,
a5e052cff237fdb066a25284608249ff74309c5a41aadbfcdf70f762690b3dcf,29050983,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-12-17,2022-01-04
b18545a6e856c19a910ef34077e6db3c394cbb489b0b90d31863bdbddaaf3dad,29039862,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-11-09,2021-11-22
b9f01065469eb19645c1f00acb149289d2f050e5a6407a8fc8db199ed37c923a,931093,local-authority-eng:CAT,7da2249ae0e47c95121d6e5d32c02eac27af0b19de5413ee6525002726d990b3,2021-12-23,
cec379cc7a1a380a9e8eb9405c1cce705d3bcb47021a78208ca98d1cc6394543,29010024,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-08-13,2021-08-13
d658eefe9069c1559281ef97c120c45d859f4135cdca3d78ee628f96d8ecdfd0,431332,local-authority-eng:CAT,acf1a75e8ef40a8d4f6557f68324a1e11a4b2a841a2aa1f15bd9151b55e42aee,2021-12-23,
d9a44a4c68c0014b510ae66fadadc79144903a35cabacd05aacd4cd7ab76eed3,28994049,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-06-01,2021-06-10
dce42dea0670bc7b4f5c209c6a91e5b6a6d59673655325989d21b53e476bfdfb,29043960,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-11-23,2021-12-02
e3a22838b44a3c1e594eee33788728a6366caef066690e5fb9fd91e46e74bac1,11714,local-authority-eng:SWK,7d33d185db7a5ba469da8f9e1d8d04a09f1a35650271282697d214e33dcd9fa1,2021-12-08,
e91b0bb16528f378857762aaad27b2afd8be0cfb04fc85db57c6e57fd0bbe47c,29014714,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-08-31,2021-09-01
ebf9e1df4e638a318b6d79335c27c896c77dfcf3c2592cdb75d419f3d50362f2,28992559,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2021-05-28,2021-05-28
efbdafb929921097a6e002188e281047bb4d512d40a8f88ade26cbb44118f0e3,226497,local-authority-eng:SWK,25763ee988ddbee9003f2dd58941c01b166e1a61e88b956f1f734c4dc4584021,2021-12-08,
f9b45adf7b8f63788cb62db450ac399a33e9e01d1de0b8a5d01d13412d679190,29107046,government-organisation:PB1164,c187fc319f7175f30f123c26cd74e398844b0176b3e5c1690f2d710ef1cb237f,2022-02-11,
