dataset,endpoint,field,separator,entry-date,start-date,end-date
listed-building-outline,2b0ef9c4c1482e0f32139e231a146d52a3cde2e4148db87c13c0b414d981c32a,geometry,,,,
listed-building-outline,a15cf992712968ed507792bb8e41ba7cb47732a15d35bd3c121e1fd0d85fe274,geometry,,,,
